"Date","Cases_daily","Deaths_daily"
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,2,0
2020-01-27,0,0
2020-01-28,6,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,5,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,6,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,7,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,1,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,1,0
2020-02-16,0,0
2020-02-17,1,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,2,0
2020-02-26,3,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,0,1
2020-03-02,1,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,4,0
2020-03-06,1,0
2020-03-07,2,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,3,0
2020-03-11,6,0
2020-03-12,11,0
2020-03-13,5,0
2020-03-14,7,0
2020-03-15,32,0
2020-03-16,33,0
2020-03-17,30,0
2020-03-18,35,0
2020-03-19,60,0
2020-03-20,50,0
2020-03-21,89,0
2020-03-22,188,0
2020-03-23,122,0
2020-03-24,106,3
2020-03-25,107,0
2020-03-26,111,0
2020-03-27,91,1
2020-03-28,109,1
2020-03-29,143,1
2020-03-30,136,2
2020-03-31,127,1
2020-04-01,120,2
2020-04-02,104,3
2020-04-03,103,4
2020-04-04,89,1
2020-04-05,102,3
2020-04-06,51,3
2020-04-07,38,1
2020-04-08,111,3
2020-04-09,54,2
2020-04-10,50,1
2020-04-11,45,2
2020-04-12,33,3
2020-04-13,28,2
2020-04-14,34,1
2020-04-15,30,2
2020-04-16,29,3
2020-04-17,28,1
2020-04-18,33,0
2020-04-19,32,0
2020-04-20,27,0
2020-04-21,19,1
2020-04-22,15,1
2020-04-23,13,1
2020-04-24,15,0
2020-04-25,53,1
2020-04-26,15,0
2020-04-27,9,1
2020-04-28,7,2
2020-04-29,9,0
2020-04-30,7,0
2020-05-01,6,0
2020-05-02,6,0
2020-05-03,3,0
2020-05-04,18,0
2020-05-05,1,0
2020-05-06,1,1
2020-05-07,3,0
2020-05-08,8,0
2020-05-09,4,1
2020-05-10,5,0
2020-05-11,6,0
2020-05-12,2,0
2020-05-13,0,0
2020-05-14,1,0
2020-05-15,7,0
2020-05-16,0,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,2,0
2020-05-20,1,0
2020-05-21,3,0
2020-05-22,0,0
2020-05-23,3,0
2020-05-24,0,0
2020-05-25,2,1
2020-05-26,3,0
2020-05-27,9,0
2020-05-28,11,0
2020-05-29,11,0
2020-05-30,1,0
2020-05-31,4,0
2020-06-01,1,0
2020-06-02,1,1
2020-06-03,1,0
2020-06-04,17,0
2020-06-05,1,0
2020-06-06,2,0
2020-06-07,8,0
2020-06-08,7,0
2020-06-09,2,0
2020-06-10,4,0
2020-06-11,0,0
2020-06-12,4,0
2020-06-13,5,0
2020-06-14,1,0
2020-06-15,0,0
2020-06-16,0,0
2020-06-17,0,0
2020-06-18,6,0
2020-06-19,5,0
2020-06-20,1,0
2020-06-21,1,0
2020-06-22,3,0
2020-06-23,5,0
2020-06-24,1,0
2020-06-25,1,0
2020-06-26,4,0
2020-06-27,0,0
2020-06-28,0,0
2020-06-29,7,0
2020-06-30,2,0
2020-07-01,2,0
2020-07-02,6,0
2020-07-03,1,0
2020-07-04,5,0
2020-07-05,5,0
2020-07-06,5,0
2020-07-07,0,0
2020-07-08,2,0
2020-07-09,5,0
2020-07-10,0,0
2020-07-11,14,0
2020-07-12,1,0
2020-07-13,3,0
2020-07-14,7,0
2020-07-15,5,0
2020-07-16,4,0
2020-07-17,3,0
2020-07-18,7,0
2020-07-19,3,0
2020-07-20,1,0
2020-07-21,5,0
2020-07-22,-2,0
2020-07-23,16,0
2020-07-24,10,0
2020-07-25,3,0
2020-07-26,9,0
2020-07-27,4,0
2020-07-28,2,0
2020-07-29,1,0
2020-07-30,6,0
2020-07-31,6,0
2020-08-01,2,0
2020-08-02,5,0
2020-08-03,3,0
2020-08-04,1,0
2020-08-05,7,0
2020-08-06,2,0
2020-08-07,15,0
2020-08-08,3,0
2020-08-09,3,0
2020-08-10,0,0
2020-08-11,0,0
2020-08-12,5,0
2020-08-13,3,0
2020-08-14,17,0
2020-08-15,0,0
2020-08-16,1,0
2020-08-17,1,0
2020-08-18,3,0
2020-08-19,1,0
2020-08-20,7,0
2020-08-21,1,0
2020-08-22,0,0
2020-08-23,5,0
2020-08-24,2,0
2020-08-25,5,0
2020-08-26,1,0
2020-08-27,1,0
2020-08-28,6,0
2020-08-29,1,0
2020-08-30,0,0
2020-08-31,1,0
2020-09-01,5,0
2020-09-02,8,0
2020-09-03,2,0
2020-09-04,4,0
2020-09-05,7,0
2020-09-06,6,0
2020-09-07,1,0
2020-09-08,1,0
2020-09-09,1,0
2020-09-10,7,0
2020-09-11,7,0
2020-09-12,5,0
2020-09-13,7,0
2020-09-14,2,0
2020-09-15,5,0
2020-09-16,10,0
2020-09-17,0,0
2020-09-18,7,0
2020-09-19,3,1
2020-09-20,6,0
2020-09-21,5,0
2020-09-22,3,0
2020-09-23,2,0
2020-09-24,3,0
2020-09-25,3,0
2020-09-26,1,0
2020-09-27,22,0
2020-09-28,14,0
2020-09-29,5,0
2020-09-30,5,0
2020-10-01,6,0
2020-10-02,8,0
2020-10-03,2,0
2020-10-04,5,0
2020-10-05,10,0
2020-10-06,15,0
2020-10-07,7,0
2020-10-08,6,0
2020-10-09,6,0
2020-10-10,2,0
2020-10-11,5,0
2020-10-12,2,0
2020-10-13,9,0
2020-10-14,13,0
2020-10-15,10,0
2020-10-16,11,0
2020-10-17,-7,0
2020-10-18,12,0
2020-10-19,9,0
2020-10-20,9,0
2020-10-21,10,0
2020-10-22,8,0
2020-10-23,4,0
2020-10-24,5,0
2020-10-25,7,0
2020-10-26,3,0
2020-10-27,13,0
2020-10-28,4,0
2020-10-29,12,0
2020-10-30,5,0
2020-10-31,4,0
2020-11-01,3,0
2020-11-02,10,0
2020-11-03,7,0
2020-11-04,6,0
2020-11-05,8,1
2020-11-06,12,0
2020-11-07,7,0
2020-11-08,3,0
2020-11-09,4,0
2020-11-10,3,0
2020-11-11,5,0
2020-11-12,9,0
2020-11-13,5,0
2020-11-14,8,0
2020-11-15,1,0
2020-11-16,3,0
2020-11-17,2,0
2020-11-18,8,0
2020-11-19,4,0
2020-11-20,7,0
2020-11-21,23,0
2020-11-22,-2,0
2020-11-23,-10,0
2020-11-24,16,0
2020-11-25,16,0
2020-11-26,19,0
2020-11-27,5,0
2020-11-28,11,0
2020-11-29,21,0
2020-11-30,10,0
2020-12-01,18,0
2020-12-02,13,0
2020-12-03,14,0
2020-12-04,19,0
2020-12-05,14,0
2020-12-06,21,0
2020-12-07,19,0
2020-12-08,25,0
2020-12-09,18,0
2020-12-10,11,0
2020-12-11,12,0
2020-12-12,17,0
2020-12-13,28,0
2020-12-14,9,0
2020-12-15,15,0
2020-12-16,20,0
2020-12-17,16,0
2020-12-18,34,0
2020-12-19,576,0
2020-12-20,382,0
2020-12-21,427,0
2020-12-22,46,0
2020-12-23,67,0
2020-12-24,81,0
2020-12-25,110,0
2020-12-26,121,0
2020-12-27,144,0
2020-12-28,155,1
2020-12-29,250,0
2020-12-30,194,0
2020-12-31,279,2
2021-01-01,216,1
2021-01-02,315,0
2021-01-03,745,1
2021-01-04,527,0
2021-01-05,365,1
2021-01-06,305,1
2021-01-07,205,0
2021-01-08,212,0
2021-01-09,245,0
2021-01-10,249,0
2021-01-11,287,0
2021-01-12,157,0
2021-01-13,0,0
2021-01-14,459,2
2021-01-15,230,1
2021-01-16,374,0
2021-01-17,369,0
2021-01-18,171,0
2021-01-19,59,1
2021-01-20,142,0
2021-01-21,0,0
2021-01-22,309,0
2021-01-23,198,1
2021-01-24,198,1
2021-01-25,1146,2
2021-01-26,0,0
2021-01-27,819,1
2021-01-28,756,0
2021-01-29,1732,1
2021-01-30,829,0
2021-01-31,836,0
2021-02-01,836,2
2021-02-02,795,0
2021-02-03,0,0
2021-02-04,809,0
2021-02-05,1076,0
2021-02-06,237,0
2021-02-07,186,0
2021-02-08,0,0
2021-02-09,189,0
2021-02-10,358,1
2021-02-11,175,0
2021-02-12,0,0
2021-02-13,126,0
2021-02-14,166,0
2021-02-15,143,2
2021-02-16,72,0
2021-02-17,175,0
2021-02-18,150,1
2021-02-19,130,0
2021-02-20,82,0
2021-02-21,181,0
2021-02-22,0,0
2021-02-23,188,0
2021-02-24,0,0
2021-02-25,72,0
2021-02-26,45,0
2021-02-27,142,0
2021-02-28,80,0
2021-03-01,0,0
2021-03-02,42,1
2021-03-03,35,1
2021-03-04,54,0
2021-03-05,79,0
2021-03-06,64,0
2021-03-07,136,0
2021-03-08,0,0
2021-03-09,60,0
2021-03-10,39,0
2021-03-11,58,0
2021-03-12,81,0
2021-03-13,78,1
2021-03-14,170,1
2021-03-15,78,0
2021-03-16,149,1
2021-03-17,248,1
2021-03-18,92,0
2021-03-19,100,1
2021-03-20,119,0
2021-03-21,90,0
2021-03-22,73,1
2021-03-23,470,1
2021-03-24,97,0
2021-03-25,0,0
2021-03-26,134,0
2021-03-27,80,1
2021-03-28,77,1
2021-03-29,39,0
2021-03-30,48,0
2021-03-31,42,0
2021-04-01,26,0
2021-04-02,58,0
2021-04-03,84,1
2021-04-04,96,0
2021-04-05,194,0
2021-04-06,250,0
2021-04-07,334,0
2021-04-08,405,0
2021-04-09,559,1
2021-04-10,789,1
2021-04-11,967,0
2021-04-12,985,0
2021-04-13,965,0
2021-04-14,1335,0
2021-04-15,1543,0
2021-04-16,1585,0
2021-04-17,1547,2
2021-04-18,1767,2
2021-04-19,1390,3
2021-04-20,1443,4
2021-04-21,1458,2
2021-04-22,1470,7
2021-04-23,2070,4
2021-04-24,2839,8
2021-04-25,2438,11
2021-04-26,2048,8
2021-04-27,2180,15
2021-04-28,2011,15
2021-04-29,1871,10
2021-04-30,1583,15
2021-05-01,1891,21
2021-05-02,1940,21
2021-05-03,2041,31
2021-05-04,1763,27
2021-05-05,2112,15
2021-05-06,1911,18
2021-05-07,2044,27
2021-05-08,2419,19
2021-05-09,2101,17
2021-05-10,1630,22
2021-05-11,1919,31
2021-05-12,1983,34
2021-05-13,4887,32
2021-05-14,2256,30
2021-05-15,3095,17
2021-05-16,2302,24
2021-05-17,9635,25
2021-05-18,2473,35
2021-05-19,3394,29
2021-05-20,2636,25
2021-05-21,3481,32
2021-05-22,3052,24
2021-05-23,3382,17
2021-05-24,2713,30
2021-05-25,3226,26
2021-05-26,2455,41
2021-05-27,5386,47
2021-05-28,3759,34
2021-05-29,4803,34
2021-05-30,4528,24
2021-05-31,3422,19
2021-06-01,2230,38
2021-06-02,3440,38
2021-06-03,3886,39
2021-06-04,2630,31
2021-06-05,2818,36
2021-06-06,2671,23
2021-06-07,2419,33
2021-06-08,2662,28
2021-06-09,2680,35
2021-06-10,2310,43
2021-06-11,2290,27
2021-06-12,3277,29
2021-06-13,2804,18
2021-06-14,3355,17
2021-06-15,3000,19
2021-06-16,2331,40
2021-06-17,3129,30
2021-06-18,3058,22
2021-06-19,3667,32
2021-06-20,3682,20
2021-06-21,3175,29
2021-06-22,4059,35
2021-06-23,3174,51
2021-06-24,4108,31
2021-06-25,3644,44
2021-06-26,4161,51
2021-06-27,3995,42
2021-06-28,5406,22
2021-06-29,4662,36
2021-06-30,4786,53
2021-07-01,5533,57
2021-07-02,6087,61
2021-07-03,6230,41
2021-07-04,5916,44
2021-07-05,6166,50
2021-07-06,5420,57
2021-07-07,6519,54
2021-07-08,7058,75
2021-07-09,9276,72
2021-07-10,9326,91
2021-07-11,9539,86
2021-07-12,8656,80
2021-07-13,8685,56
2021-07-14,9317,87
2021-07-15,9186,98
2021-07-16,9692,67
2021-07-17,10082,141
2021-07-18,11397,101
2021-07-19,11784,81
2021-07-20,11305,80
2021-07-21,13002,108
2021-07-22,13655,87
2021-07-23,14575,114
2021-07-24,14260,119
2021-07-25,15335,129
2021-07-26,15376,87
2021-07-27,14150,118
2021-07-28,16533,133
2021-07-29,17669,165
2021-07-30,17345,117
2021-07-31,18912,178
2021-08-01,18027,133
2021-08-02,17970,178
2021-08-03,18901,147
2021-08-04,20200,188
2021-08-05,20920,160
2021-08-06,21379,191
2021-08-07,21838,212
2021-08-08,19983,138
2021-08-09,19603,149
2021-08-10,19843,235
2021-08-11,21038,207
2021-08-12,22782,147
2021-08-13,23418,184
2021-08-14,22086,217
2021-08-15,21882,209
2021-08-16,21157,182
2021-08-17,20128,239
2021-08-18,20515,312
2021-08-19,20902,301
2021-08-20,19851,240
2021-08-21,20571,261
2021-08-22,19014,233
2021-08-23,17491,242
2021-08-24,17165,226
2021-08-25,18417,297
2021-08-26,18501,229
2021-08-27,18702,273
2021-08-28,17984,292
2021-08-29,16536,264
2021-08-30,15972,256
2021-08-31,14666,190
2021-09-01,9225,252
2021-09-02,20533,262
2021-09-03,14653,271
2021-09-04,15942,257
2021-09-05,15452,224
2021-09-06,13988,187
2021-09-07,13821,241
2021-09-08,14176,228
2021-09-09,16031,220
2021-09-10,14403,189
2021-09-11,15191,253
2021-09-12,14029,180
2021-09-13,12583,132
2021-09-14,11786,136
2021-09-15,13801,144
2021-09-16,13894,188
2021-09-17,14555,171
2021-09-18,14109,122
2021-09-19,13576,117
2021-09-20,12709,106
2021-09-21,10919,143
2021-09-22,11252,141
2021-09-23,13256,131
2021-09-24,12697,132
2021-09-25,11975,127
2021-09-26,12353,125
2021-09-27,10288,101
2021-09-28,9489,129
2021-09-29,10414,122
2021-09-30,11646,107
2021-10-01,11754,123
2021-10-02,11375,87
2021-10-03,10828,77
2021-10-04,9930,97
2021-10-05,9869,92
2021-10-06,21066,215
2021-10-07,0,0
2021-10-08,11140,116
2021-10-09,10630,73
2021-10-10,10817,84
2021-10-11,10035,60
2021-10-12,9445,84
2021-10-13,10064,82
2021-10-14,11276,112
2021-10-15,10486,94
2021-10-16,10648,82
2021-10-17,10863,68
2021-10-18,10111,63
2021-10-19,9122,71
