"data_i","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3000,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-10,16,-33,-48,-15,4,186164,83468,536769,20694,450152,19150,4249,4953,1960153
2331,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-11,14,-35,-49,-16,4,166528,56439,526875,20615,450817,18123,7464,7553,1890323
3129,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-11,13,-34,-49,-16,4,137776,78109,531832,20552,453186,18878,5795,5687,1870890
3058,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,12,-36,-51,-15,5,181588,81827,546002,24711,474253,20633,10218,10518,2077441
3667,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,10,-41,-51,0,2,51973,52122,433960,21385,319600,15826,6999,6741,1884687
3682,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,10,-34,-52,-7,3,39947,51932,385370,23381,249729,17181,9122,11396,1662859
3175,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-12,11,-33,-49,-17,3,152809,74830,547602,22796,471503,20536,6673,7696,2041223
4059,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,10,-34,-50,-18,3,165673,75966,547429,21841,461393,18904,5471,6000,1911081
3174,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,8,-35,-50,-18,4,172903,79082,551279,21167,462976,18064,7662,7869,1946675
4108,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,7,-35,-49,-17,4,188929,68174,542903,21570,464079,17859,6486,6398,1945198
3644,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,11,-37,-50,-16,5,228955,95100,544022,25066,471928,20786,10974,10987,2078132
4161,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,9,-42,-50,-2,3,40518,33145,447075,21812,316761,15570,7864,7581,1842177
3995,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,9,-36,-52,-7,3,62025,30347,372055,22386,252468,16362,9714,11907,1619098
5406,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-18,6,-38,-52,-17,5,183187,85732,519094,22312,440818,17654,6949,8152,1923774
4662,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-18,6,-38,-53,-19,5,189131,67143,519426,20806,428149,15833,5072,6055,1822197
4786,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-15,13,-38,-51,-19,4,200685,54307,546310,20588,447149,15593,6994,7549,1873645
5533,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-9,23,-35,-48,-16,4,253731,45754,549137,19426,432009,15343,6791,6332,1923601
6087,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-11,26,-36,-50,-15,5,275533,69576,542588,22395,430182,16771,7927,7368,1931529
6230,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-11,25,-42,-50,1,3,81032,17573,432771,19464,266873,12573,6017,5746,1649828
5916,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-10,25,-35,-52,-5,4,83504,23347,358433,20176,206350,12323,6981,8351,1398656
6166,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-8,25,-32,-48,-15,4,217375,63267,533059,19907,417292,15898,5478,5701,1863287
5420,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-12,20,-36,-51,-17,6,223268,46385,506670,18975,393053,13672,4211,4267,1766508
6519,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-10,21,-35,-50,-17,6,248933,42642,508473,17828,393052,13427,5177,5038,1748922
7058,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,20,-37,-51,-16,6,305925,50453,505692,17507,377062,13059,4641,4048,1747277
9276,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-18,20,-42,-53,-16,8,330371,69537,489767,17845,374458,14451,7712,5958,1870522
9326,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-21,17,-50,-55,-1,7,83072,10212,369755,15299,208929,10180,4658,3802,1427038
9539,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-20,19,-45,-57,-7,7,87809,12216,304172,15756,162592,8694,5922,5940,1158452
8656,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-16,18,-37,-55,-19,7,297542,41438,409359,13993,293722,10951,2533,2562,1525235
8685,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,15,-37,-57,-21,8,289175,33313,397469,10181,266044,9615,1809,1745,1473921
9317,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,14,-39,-57,-21,9,275216,27820,391926,10015,267376,9317,2333,1906,1467706
9186,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,15,-40,-56,-20,9,261015,28053,401567,9424,274109,9304,1795,1888,1486614
9692,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-20,18,-41,-58,-20,10,273223,34481,399077,9801,274461,9599,2387,2567,1546249
10082,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,15,-49,-58,-2,7,82854,10419,314822,9121,159177,6918,1650,1673,1295276
11397,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,16,-43,-60,-8,7,69667,5167,259939,8059,123562,6664,2967,3141,1044306
11784,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-18,17,-39,-56,-20,8,217419,31229,405518,9264,276526,9564,1992,2242,1517743
11305,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-22,15,-40,-58,-24,10,225061,32815,371261,8498,241001,8908,2927,2927,1484244
13002,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,12,-40,-60,-25,10,246287,33289,355104,2066,232168,7945,2,110,1382041
13655,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-25,9,-42,-60,-24,11,266314,37929,353382,920,224525,8135,0,81,1399249
14575,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-27,14,-46,-62,-24,12,304244,48635,342721,1534,231598,8679,2,111,1505101
14260,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-33,5,-56,-65,-21,12,117421,10605,233330,1197,117362,5900,5,95,1227890
15335,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-33,6,-50,-67,-18,11,80943,9991,209073,870,93103,5350,1,98,991998
15376,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-23,12,-42,-65,-43,15,122137,16755,257658,980,140237,6046,1,122,1202658
14150,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-23,13,-41,-61,-29,11,284387,43002,331948,1033,223155,7444,2,98,1440424
16533,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-26,8,-42,-69,-57,19,144258,20012,213896,871,103704,5479,5,325,1136665
17669,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-26,8,-44,-61,-24,11,366663,53485,342573,1054,231122,7811,0,55,1484579
17345,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-28,11,-47,-62,-24,13,414946,65209,348148,1046,235216,8179,10,170,1541537
18912,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-29,12,-53,-62,-7,9,162737,31605,268403,954,132064,6105,0,24,1271731
18027,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,15,-47,-63,-13,9,152171,28381,231221,838,100588,6343,3,387,1037063
17970,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-23,14,-42,-60,-24,10,252390,79909,363297,1070,243831,9116,6,300,1511331
18901,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-25,11,-44,-61,-27,11,297446,95146,356111,1243,231584,8247,8,58,1377477
20200,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,8,-43,-61,-27,11,17725,2560,348404,2012,227799,7568,8,128,1433215
20920,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,6,-45,-61,-26,12,690855,193300,350668,2360,223844,7558,8,184,1433037
21379,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,8,-46,-63,-26,13,471493,117578,354588,2492,228487,7802,3,37,1486593
21838,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,6,-52,-62,-9,10,133996,32262,257625,2209,143216,6098,2,59,1276650
19983,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-32,6,-48,-65,-14,9,169370,26651,224964,2173,105397,5585,0,112,1011641
19603,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,7,-43,-61,-25,10,347344,101808,354626,2589,239879,8086,1,28,1485506
19843,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,9,-42,-60,-27,11,360514,127880,356796,2401,240637,7891,1,98,1457383
21038,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,4,-44,-61,-28,11,361902,132662,348080,2441,243401,8148,9,3,1543143
22782,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-24,11,-41,-67,-58,18,210244,30566,215806,2075,113452,5589,3,154,1220696
23418,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-32,2,-48,-64,-28,14,429076,178183,332041,2897,241634,7699,8,19,1495288
22086,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-34,0,-55,-64,-11,11,197103,42269,268752,2152,136185,6096,0,142,1358047
21882,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-35,1,-51,-65,-15,10,104744,31456,198644,2039,112405,5881,8,251,1137372
21157,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,7,-44,-60,-26,11,374435,117422,358043,2664,251082,8490,2,43,1557972
20128,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,8,-43,-60,-28,11,359680,156079,352172,2613,242100,8307,1,128,1487341
20515,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,5,-43,-60,-27,11,421953,124088,357153,2511,245774,8468,10,209,1490656
20902,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-29,2,-45,-61,-27,11,454597,207163,354622,2498,242233,8174,1,131,1471178
19851,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,5,-47,-62,-26,13,490611,249899,370178,3168,251152,8697,9,163,1641287
20571,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,5,-53,-62,-11,9,228069,67667,280540,2241,143590,6745,2,0,1367611
19014,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-35,-1,-48,-66,-15,9,137120,38276,220667,2425,107611,6421,6,178,1094242
17491,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,4,-43,-61,-25,10,393996,164521,338725,2663,252144,9013,10,3,1582700
17165,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,4,-44,-61,-27,10,427752,184526,373548,2596,247301,8640,10,196,1479293
18417,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,3,-44,-60,-27,11,479504,198159,382276,2543,254082,8716,6,116,1547853
18501,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,2,-45,-60,-27,11,432604,285407,372501,2656,247858,8931,12,212,1530522
18702,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,4,-49,-62,-26,13,463113,333419,365650,2953,256001,9312,18,173,1630796
17984,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,3,-53,-62,-10,10,242833,81426,284163,2395,146337,7334,0,43,1390894
16536,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,4,-47,-63,-15,9,200055,47163,240034,2597,119243,7106,1,89,1157696
15972,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-25,6,-43,-58,-24,10,350064,448327,397779,3031,279588,9700,72,29,1631114
14666,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-23,10,-44,-57,-25,10,356488,402351,398160,2928,280344,9351,12,115,1581025
9225,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-17,11,-42,-54,-24,9,402044,558884,425696,6451,332847,9455,1999,2777,1661457
20533,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-16,11,-42,-54,-24,9,388121,435737,428955,7344,328090,10008,1664,2216,1648659
14653,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-18,11,-44,-56,-23,10,294913,528775,436635,8469,345031,10621,3699,3977,1741938
15942,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-19,7,-47,-55,-7,7,186156,208478,369234,7478,266469,8870,2763,2705,1606636
15452,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-16,12,-39,-57,-12,6,140751,165879,309182,8340,202470,8978,3628,4337,1309260
